Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jordan, 50.82 , 63.77 , 106.08 , 47.14 , 46.99 , 78.05 , 81.25 , 94.78 , 128.23 , 118.74 , 174.16 , 158.63 , 204.47 , 161.97 , 222.13 , 159.40 , 189.12 , 232.25 , 256.94 , 336.09 , 356.38 , 326.45 , 405.00 , 550.00 , 566.00 , 564.00 , 636.00 
Kazakhstan, -   , -   , 0.65 , 4.33 , 9.10 , 10.98 , 3.01 , 2.77 , 21.20 , 10.46 , 18.60 , 33.11 , 34.92 , 56.87 , 66.28 , 66.03 , 111.73 , 163.72 , 150.87 , 184.36 , 158.27 , 132.76 , 132.00 , 138.00 , 131.00 , 128.00 , 145.00 
Kiribati, 0.13 , 0.20 , 0.13 , 0.20 , 0.20 , 0.20 , 0.36 , 0.20 , 0.20 , 0.53 , 0.70 , 0.20 , 3.09 , 0.59 , 0.36 , 0.74 , 1.97 , 2.78 , 0.60 , 0.42 , 0.20 , 0.24 , -   , -   , 1.00 , -   , 1.00 
"Korea, Dem. People's Rep. of", 0.14 , 0.29 , 0.23 , 1.55 , 0.64 , 1.76 , 0.79 , 0.18 , 0.43 , 0.80 , 24.57 , 29.47 , 26.70 , 7.93 , 26.55 , 20.40 , 9.10 , 25.81 , 2.94 , 4.27 , 15.63 , 20.31 , 7.00 , 15.00 , 44.00 , 47.00 , 20.00 
"Korea, Rep. of", 895.73 , 864.93 ," 1,003.55 "," 1,079.28 "," 1,184.88 "," 1,102.77 ", 996.90 ," 1,178.66 "," 1,071.16 "," 1,138.37 "," 1,316.39 "," 1,330.81 "," 1,412.33 "," 1,402.65 "," 1,500.87 "," 1,536.82 "," 1,572.28 "," 1,586.80 "," 1,845.37 "," 1,798.75 "," 2,010.68 "," 2,345.79 "," 2,106.00 "," 2,141.00 "," 2,419.00 "," 2,518.00 "," 2,780.00 "
Kuwait, 20.70 , 18.55 , 44.87 , 33.62 , 32.90 , 40.38 , 45.62 , 38.09 , 51.07 , 55.99 , 52.05 , 77.43 , 87.02 , 72.51 , 73.10 , 89.73 , 59.99 , 61.77 , 74.76 , 72.24 , 72.05 , 82.90 , 101.00 , 96.00 , 156.00 , 164.00 , 222.00 
Kyrgyz Republic, -   , -   , 2.00 , 0.62 , 0.29 , 0.19 , 0.07 , 1.60 , 5.45 , 1.80 , 0.12 , 0.03 , 0.69 , 3.28 , 4.80 , 5.62 , 7.49 , 7.29 , 7.98 , 13.69 , 16.61 , 21.46 , 19.00 , 17.00 , 20.00 , 21.00 , 40.00 
Lebanon, 166.67 , 266.67 , 350.00 , 250.00 , 216.67 , 300.00 , 300.00 , 255.27 , 305.98 , 282.77 , 275.02 , 424.53 , 322.62 , 314.93 , 414.61 , 356.57 , 315.63 , 435.53 , 397.13 , 421.96 , 460.87 , 432.40 , 451.00 , 647.00 , 612.00 , 646.00 , 639.00 
Malaysia, 178.94 , 201.08 , 214.16 , 211.70 , 231.16 , 313.94 , 407.22 , 415.88 , 304.54 , 393.13 , 510.32 , 630.31 , 667.80 , 546.41 , 761.28 , 508.99 , 767.87 , 970.04 ," 1,014.14 ", 868.04 ," 1,243.57 "," 1,586.66 "," 1,742.00 "," 1,957.00 "," 1,823.00 "," 1,844.00 "," 1,948.00 "
"Micronesia, Fed. States of", -   , -   , -   , -   , -   , 1.17 , 0.05 , 1.30 , 0.23 , 1.17 , 1.24 , 3.16 , 3.65 , 3.03 , 3.32 , 2.93 , 3.61 , 3.77 , 6.35 , 8.78 , 4.01 , 3.83 , 5.00 , 6.00 , 5.00 , 5.00 , 4.00 
